Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,May-Sep,Oct-Apr,Annual
1979,14.83231702,14.73924,12.46337722,9.745355087,4.600106966,3.843157192,1.286301218,2.477172258,5.739411847,8.057163832,11.19706416,12.10918776,3.589229896,11.45316985,8.424154547
1980,14.20202401,13.44518861,10.86577132,10.29578929,6.163569544,2.673596651,0.932123076,4.324103319,5.824367272,9.155402653,8.985389269,12.96265568,3.983551972,12.35477983,8.319165057
1981,16.12552011,14.83246787,13.63558923,10.78643401,4.89512846,1.926649763,0.896555334,0.896555334,-4.83153472,2.55087893,10.99062617,14.64482749,0.756670834,11.34047623,7.279141498
1982,13.82203089,15.7698536,14.23635585,7.368760665,5.928157248,2.958778554,2.719811033,4.284138819,6.205087915,6.13511234,12.13752116,10.74714021,4.419194714,11.06925844,8.526062357
1983,12.26736362,13.9090651,13.46598319,8.822623484,4.99289005,2.709132972,0.516435866,4.541507456,4.36812843,9.27374071,10.13489121,10.78170524,3.425618955,11.376917,7.981955611
1984,11.84948482,14.09029521,13.38178823,10.12651356,4.939274589,4.808142744,1.919306246,5.005445322,6.455599241,8.733842852,12.72953961,13.1050854,4.625553628,12.44382299,8.928693151
1985,14.58951613,14.0496967,13.52380332,10.37527693,5.679041739,2.826816002,2.332295634,3.935393286,6.582347035,8.348590411,9.148205501,7.010514123,4.271178739,11.09840376,8.200124736
1986,15.64397552,14.43845864,12.44009435,10.65898781,5.779323544,2.728828964,0.887646526,0.335676577,5.014017036,7.310738194,11.12031557,13.52987311,2.949098529,11.65043224,8.323994653
1987,15.53195392,13.3852993,10.56300733,10.11183826,8.341510315,2.978060235,3.020864104,6.394351218,7.382004712,9.325954701,11.56233476,12.6627054,5.623358116,12.13430254,9.271657022
1988,15.80378047,14.07017945,12.12800831,9.387154657,6.920260603,5.136470823,4.254075857,4.642247555,9.198200501,8.774867019,12.11596664,14.93235617,6.030251068,13.11869223,9.780297338
1989,16.06945171,15.19393377,13.37256667,11.37170366,6.783565079,3.218332789,-0.729462223,4.415948175,8.366664605,9.881336509,11.96504078,13.16940121,4.411009685,13.19825428,9.423206893
1990,14.75057331,16.77084229,14.52419034,11.32639554,7.063281919,4.157465852,3.479893575,2.74265992,7.278302487,9.51116952,11.19515155,12.71973649,4.944320751,12.08020348,9.626638566
1991,14.80513234,13.80288429,13.74929841,8.778051783,5.758747239,3.666448124,4.0890345,3.767750385,6.405307954,8.461294737,8.799185802,13.15218032,4.73745764,11.29235757,8.769609657
1992,14.89865448,13.67647388,11.60715959,8.451554172,4.936224473,2.997310279,3.080158733,3.223446278,3.22588049,6.957507935,12.45789327,12.10404964,3.492604051,11.18399015,8.134692769
1993,13.17722054,13.33929789,11.99043793,8.261523818,6.034965045,4.648825108,5.796931701,5.460790655,5.959626996,10.25823956,8.061780357,12.05082354,5.580227901,12.00414343,8.753371928
1994,14.73552499,15.67371031,11.90363004,11.34529519,5.980239256,2.48223013,1.588197156,4.47276939,5.440252186,8.917332426,9.621334408,14.22492306,3.992737623,12.39547701,8.865453212
1995,14.52279647,16.08880991,13.12708656,10.26605621,6.69697502,0.905754002,2.994828177,4.227288403,5.929703747,7.839904306,10.18503188,14.2677387,4.15090987,11.74218134,8.920997782
1996,15.14842796,13.98936975,11.3286529,9.436143871,5.870015902,3.567928406,1.150144086,4.60984516,8.490157208,9.362799526,8.273798011,12.31793655,4.737618152,11.33522137,8.628768278
1997,13.91488644,15.7030548,10.87909011,8.894984181,7.820176853,4.237340866,4.257419992,4.304138085,6.178718545,10.72596689,11.50472478,12.14167705,5.359558868,12.99574243,9.213514882
1998,15.50249839,16.75298982,14.05353168,10.28880843,7.441461094,4.90662877,3.776230306,4.844350346,8.015812655,8.79305404,11.08754478,13.75822869,5.796896634,12.99160826,9.935094916
1999,16.6312499,16.42953512,14.47250655,9.76913873,8.201393057,3.564263592,2.624125461,4.554554886,7.571079704,10.89809076,10.27433485,12.34985368,5.30308334,12.18892313,9.778343857
2000,13.65361674,14.79677682,13.59794273,9.751846318,7.315892114,3.180521285,5.829144849,4.363932154,6.146408625,8.968915553,8.550221329,14.71360201,5.367179805,12.43446814,9.239068376
2001,13.75822869,15.90369303,13.92662521,11.21999119,8.367449808,4.233879323,2.643325105,4.294142713,7.950420118,9.833620646,10.70095888,13.67611224,5.497843414,12.1150239,9.709037246
2002,14.13305746,13.77659943,12.88117133,9.803647284,6.986690968,3.142587531,2.863774799,4.407816813,6.548289247,7.683645219,9.734528381,13.01825065,4.789831872,11.51220911,8.74833826
2003,14.24206807,13.75355177,14.40652417,7.746895506,6.510821517,5.561451274,3.811015092,3.817959691,3.903847817,8.003832378,9.40053565,13.52228539,4.721019078,11.36151213,8.723399027
2004,15.61860982,12.21861937,11.95579181,8.810910496,5.939751024,4.497474153,2.957533486,2.516022955,5.896699788,8.653660661,12.40107524,9.741793854,4.361496281,11.91991139,8.433995222
2005,15.01685756,16.25641604,12.43509914,8.934477199,6.922925052,3.600860315,4.186992199,6.075126599,8.356923716,8.158310145,11.36981931,14.52000823,5.828565576,11.87380272,9.652817959
2006,14.61305533,14.18866263,10.35806064,9.90870273,5.060663277,2.947194318,3.142832659,3.039425885,8.239397861,8.167897807,9.725859818,10.07435671,4.4859028,11.52318538,8.288842473
2007,14.86322581,15.09035714,14.00533871,8.735261667,9.340741935,2.199578333,2.258258065,4.622354839,6.901975,8.145462069,11.187155,13.70350484,5.064581634,12.36073981,9.25443445
2008,16.14827258,14.51945517,13.41382903,9.4075,4.350967742,4.378966667,2.333225806,3.527486667,7.67004,8.86491129,11.292635,13.23366452,4.452137376,12.0203942,9.095079539
2009,15.80419355,13.89285714,11.8334629,9.221035,3.411516129,0.808366667,1.665709677,6.525403226,7.2469,6.745806452,11.1474,12.78677419,3.93157914,11.94052142,8.424118745
